State,Mode,Year,Commute mode share (percent)
United States,Walked,2012,0.028176733
United States,"Taxi, motorcycle, or other",2012,0.012036826
United States,Public transportation,2012,0.050073178
United States,Worked at home,2012,0.043616455
United States,Carpool,2012,0.097086324
United States,Drove alone,2012,0.762870594
United States,Bicycle,2011,0.005623672
United States,Walked,2011,0.028118678
United States,"Taxi, motorcycle, or other",2011,0.011769699
United States,Public transportation,2011,0.050307218
United States,Worked at home,2011,0.043350907
United States,Carpool,2011,0.096822015
United States,Drove alone,2011,0.764007811
United States,Bicycle,2010,0.005340153
United States,Walked,2010,0.027727618
United States,"Taxi, motorcycle, or other",2010,0.01165423
United States,Public transportation,2010,0.049427567
United States,Worked at home,2010,0.043260963
United States,Carpool,2010,0.096876429
United States,Drove alone,2010,0.76571304
Alabama,Bicycle,2022,0.000709818
Alabama,Walked,2022,0.011598273
Alabama,"Taxi, motorcycle, or other",2022,0.011430111
Alabama,Public transportation,2022,0.002954774
Alabama,Worked at home,2022,0.08862994
Alabama,Carpool,2022,0.079235025
Alabama,Drove alone,2022,0.805442059
Alabama,Bicycle,2021,0.001006655
Alabama,Walked,2021,0.009264458
Alabama,"Taxi, motorcycle, or other",2021,0.009658347
Alabama,Public transportation,2021,0.002298683
Alabama,Worked at home,2021,0.096401993
Alabama,Carpool,2021,0.076352935
Alabama,Drove alone,2021,0.805016928
Alabama,"Taxi, motorcycle, or other",2020,0.018706504
Alabama,Public transportation,2020,0.003474662
Alabama,Worked at home,2020,0.085762915
Alabama,Carpool,2020,0.078360709
Alabama,Drove alone,2020,0.81369521
Alabama,Bicycle,2019,0.00139455
Alabama,Walked,2019,0.012281036
Alabama,"Taxi, motorcycle, or other",2019,0.009844322
Alabama,Public transportation,2019,0.004155065
Alabama,Worked at home,2019,0.033945292
Alabama,Carpool,2019,0.086711383
Alabama,Drove alone,2019,0.851668352
Alabama,Bicycle,2018,0.000701637
Alabama,Walked,2018,0.010839354
Alabama,"Taxi, motorcycle, or other",2018,0.008888695
Alabama,Public transportation,2018,0.00337666
Alabama,Worked at home,2018,0.034525778
Alabama,Carpool,2018,0.07867332
Alabama,Drove alone,2018,0.862994555
Alabama,Bicycle,2017,0.001008024
Alabama,Walked,2017,0.011556515
Alabama,"Taxi, motorcycle, or other",2017,0.008524607
Alabama,Public transportation,2017,0.003543266
Alabama,Worked at home,2017,0.033734012
Alabama,Carpool,2017,0.084985494
Alabama,Drove alone,2017,0.856648082
Alabama,Bicycle,2016,0.001027669
Alabama,Walked,2016,0.011628241
Alabama,"Taxi, motorcycle, or other",2016,0.009285546
Alabama,Public transportation,2016,0.003084954
Alabama,Worked at home,2016,0.033402153
Alabama,Carpool,2016,0.080385118
Alabama,Drove alone,2016,0.861186319
Alabama,Bicycle,2015,0.000871392
Alabama,Walked,2015,0.01100052
Alabama,"Taxi, motorcycle, or other",2015,0.008596114
Alabama,Public transportation,2015,0.003015326
Alabama,Worked at home,2015,0.031692733
Alabama,Carpool,2015,0.089849348
Alabama,Drove alone,2015,0.854974567
Alabama,Bicycle,2014,0.0016967
Alabama,Walked,2014,0.011438031
Alabama,"Taxi, motorcycle, or other",2014,0.009686534
Alabama,Public transportation,2014,0.004122692
Alabama,Worked at home,2014,0.02851064
Alabama,Carpool,2014,0.085645498
Alabama,Drove alone,2014,0.858899905
Alabama,Bicycle,2013,0.000979023
Alabama,Walked,2013,0.010488957
Alabama,"Taxi, motorcycle, or other",2013,0.009511446
Alabama,Public transportation,2013,0.004835628
Alabama,Worked at home,2013,0.025234295
Alabama,Carpool,2013,0.08533986
Alabama,Drove alone,2013,0.86361079
Alabama,Bicycle,2012,0.001122882
Alabama,Walked,2012,0.011963536
Alabama,"Taxi, motorcycle, or other",2012,0.009290032
Alabama,Public transportation,2012,0.004107931
Alabama,Worked at home,2012,0.025854694
Alabama,Carpool,2012,0.094800038
Alabama,Drove alone,2012,0.852860887
Alabama,Bicycle,2011,0.001477519
Alabama,Walked,2011,0.010831046
Alabama,"Taxi, motorcycle, or other",2011,0.008864092
Alabama,Public transportation,2011,0.004776084
Alabama,Worked at home,2011,0.026174515
Alabama,Carpool,2011,0.099342949
Alabama,Drove alone,2011,0.848533795
Alabama,Bicycle,2010,0.00118969
Alabama,Walked,2010,0.013245932
Alabama,"Taxi, motorcycle, or other",2010,0.008120838
Alabama,Public transportation,2010,0.004080401
Alabama,Worked at home,2010,0.028580226
Alabama,Carpool,2010,0.100058972
Alabama,Drove alone,2010,0.84472394
Alaska,Bicycle,2022,0.003753879
Alaska,Walked,2022,0.072725149
Alaska,"Taxi, motorcycle, or other",2022,0.051514343
Alaska,Public transportation,2022,0.012354433
Alaska,Worked at home,2022,0.094561603
Alaska,Carpool,2022,0.122715695
Alaska,Drove alone,2022,0.642374899
Alaska,Bicycle,2021,0.008526156
Alaska,Walked,2021,0.067749787
Alaska,"Taxi, motorcycle, or other",2021,0.039149943
Alaska,Public transportation,2021,0.008671554
Alaska,Worked at home,2021,0.103122283
Alaska,Carpool,2021,0.110781865
Alaska,Drove alone,2021,0.661998412
Alaska,"Taxi, motorcycle, or other",2020,0.123918319
Alaska,Public transportation,2020,0.010842486
Alaska,Worked at home,2020,0.114986106
Alaska,Carpool,2020,0.111065791
Alaska,Drove alone,2020,0.639187298
Alaska,Bicycle,2019,0.006643588
Alaska,Walked,2019,0.070701036
Alaska,"Taxi, motorcycle, or other",2019,0.050144221
Alaska,Public transportation,2019,0.00964235
Alaska,Worked at home,2019,0.043283373
Alaska,Carpool,2019,0.119993368
Alaska,Drove alone,2019,0.699592065
Alaska,Bicycle,2018,0.012388753
Alaska,Walked,2018,0.077649879
Alaska,"Taxi, motorcycle, or other",2018,0.042349108
Alaska,Public transportation,2018,0.012329665
Alaska,Worked at home,2018,0.052723247
Alaska,Carpool,2018,0.122700146
Alaska,Drove alone,2018,0.679859202
Alaska,Bicycle,2017,0.007751607
Alaska,Walked,2017,0.073527821
Alaska,"Taxi, motorcycle, or other",2017,0.045259934
Alaska,Public transportation,2017,0.016587813
Alaska,Worked at home,2017,0.045501904
Alaska,Carpool,2017,0.118292426
Alaska,Drove alone,2017,0.693078495
Alaska,Bicycle,2016,0.009922713
Alaska,Walked,2016,0.07615131
Alaska,"Taxi, motorcycle, or other",2016,0.037687016
Alaska,Public transportation,2016,0.012075391
Alaska,Worked at home,2016,0.051741436
Alaska,Carpool,2016,0.121988732
Alaska,Drove alone,2016,0.690433402
Alaska,Bicycle,2015,0.011157474
Alaska,Walked,2015,0.079325208
Alaska,"Taxi, motorcycle, or other",2015,0.044632652
Alaska,Public transportation,2015,0.015445845
Alaska,Worked at home,2015,0.044329684
Alaska,Carpool,2015,0.125973972
Alaska,Drove alone,2015,0.679135165
Alaska,Bicycle,2014,0.009133907
Alaska,Walked,2014,0.079980847
Alaska,"Taxi, motorcycle, or other",2014,0.044208
Alaska,Public transportation,2014,0.013092583
Alaska,Worked at home,2014,0.038737678
Alaska,Carpool,2014,0.120322039
Alaska,Drove alone,2014,0.694524945
Alaska,Bicycle,2013,0.00995595
Alaska,Walked,2013,0.088228389
Alaska,"Taxi, motorcycle, or other",2013,0.043750839
Alaska,Public transportation,2013,0.018416551
Alaska,Worked at home,2013,0.042962636
Alaska,Carpool,2013,0.129866173
Alaska,Drove alone,2013,0.666819462
Alaska,Bicycle,2012,0.011061035
Alaska,Walked,2012,0.073865501
Alaska,"Taxi, motorcycle, or other",2012,0.048296674
Alaska,Public transportation,2012,0.016114783
Alaska,Worked at home,2012,0.055807184
Alaska,Carpool,2012,0.133139073
Alaska,Drove alone,2012,0.66171575
Alaska,Bicycle,2011,0.010201361
Alaska,Walked,2011,0.075713135
Alaska,"Taxi, motorcycle, or other",2011,0.040920129
Alaska,Public transportation,2011,0.018562004
Alaska,Worked at home,2011,0.048383351
Alaska,Carpool,2011,0.123987534
Alaska,Drove alone,2011,0.682232487
Alaska,Bicycle,2010,0.013225634
Alaska,Walked,2010,0.078820933
Alaska,"Taxi, motorcycle, or other",2010,0.039257594
Alaska,Public transportation,2010,0.011746413
Alaska,Worked at home,2010,0.054757384
Alaska,Carpool,2010,0.132128215
Alaska,Drove alone,2010,0.670063828
Arizona,Bicycle,2022,0.005018915
Arizona,Walked,2022,0.01721136
Arizona,"Taxi, motorcycle, or other",2022,0.01854286
Arizona,Public transportation,2022,0.008342524
Arizona,Worked at home,2022,0.19150543
Arizona,Carpool,2022,0.098295673
Arizona,Drove alone,2022,0.661083238
Arizona,Bicycle,2021,0.004061053
Arizona,Walked,2021,0.015651866
Arizona,"Taxi, motorcycle, or other",2021,0.016149399
Arizona,Public transportation,2021,0.009382705
Arizona,Worked at home,2021,0.207445375
Arizona,Carpool,2021,0.088864222
Arizona,Drove alone,2021,0.65844538
Arizona,"Taxi, motorcycle, or other",2020,0.039329146
Arizona,Public transportation,2020,0.011310021
Arizona,Worked at home,2020,0.180126443
Arizona,Carpool,2020,0.093300163
Arizona,Drove alone,2020,0.675934226
Arizona,Bicycle,2019,0.007690101
Arizona,Walked,2019,0.019061048
Arizona,"Taxi, motorcycle, or other",2019,0.017807241
Arizona,Public transportation,2019,0.016792719
Arizona,Worked at home,2019,0.07579187
Arizona,Carpool,2019,0.106487569
Arizona,Drove alone,2019,0.756369452
Arizona,Bicycle,2018,0.008061209
Arizona,Walked,2018,0.017412034
Arizona,"Taxi, motorcycle, or other",2018,0.018722756
Arizona,Public transportation,2018,0.016921262
Arizona,Worked at home,2018,0.067628661
Arizona,Carpool,2018,0.109816524
Arizona,Drove alone,2018,0.761437554
Arizona,Bicycle,2017,0.008188196
Arizona,Walked,2017,0.019901819
Arizona,"Taxi, motorcycle, or other",2017,0.01564992
Arizona,Public transportation,2017,0.017981952
Arizona,Worked at home,2017,0.062833952
Arizona,Carpool,2017,0.110036777
Arizona,Drove alone,2017,0.765407385
Arizona,Bicycle,2016,0.008309213
Arizona,Walked,2016,0.018317422
Arizona,"Taxi, motorcycle, or other",2016,0.016651503
Arizona,Public transportation,2016,0.018500854
Arizona,Worked at home,2016,0.06344324
Arizona,Carpool,2016,0.109806635
Arizona,Drove alone,2016,0.764971134
Arizona,Bicycle,2015,0.010265449
Arizona,Walked,2015,0.020911624
Arizona,"Taxi, motorcycle, or other",2015,0.016408441
Arizona,Public transportation,2015,0.020583317
Arizona,Worked at home,2015,0.055067598
Arizona,Carpool,2015,0.106169995
Arizona,Drove alone,2015,0.770593577
Arizona,Bicycle,2014,0.010862087
Arizona,Walked,2014,0.019955205
Arizona,"Taxi, motorcycle, or other",2014,0.018036144
Arizona,Public transportation,2014,0.020347211
Arizona,Worked at home,2014,0.057089086
Arizona,Carpool,2014,0.104437362
Arizona,Drove alone,2014,0.769272904
Arizona,Bicycle,2013,0.009719904
Arizona,Walked,2013,0.020687244
Arizona,"Taxi, motorcycle, or other",2013,0.018494793
Arizona,Public transportation,2013,0.023593086
Arizona,Worked at home,2013,0.054583291
Arizona,Carpool,2013,0.110382795
Arizona,Drove alone,2013,0.762538887
Arizona,Bicycle,2012,0.009044766
Arizona,Walked,2012,0.020164634
Arizona,"Taxi, motorcycle, or other",2012,0.018640272
Arizona,Public transportation,2012,0.020065435
Arizona,Worked at home,2012,0.054487572
Arizona,Carpool,2012,0.110429331
Arizona,Drove alone,2012,0.76716799
Arizona,Bicycle,2011,0.011012903
Arizona,Walked,2011,0.021968829
Arizona,"Taxi, motorcycle, or other",2011,0.017282327
Arizona,Public transportation,2011,0.019831603
Arizona,Worked at home,2011,0.055008671
Arizona,Carpool,2011,0.116467509
Arizona,Drove alone,2011,0.758428158
Arizona,Bicycle,2010,0.008506625
Arizona,Walked,2010,0.019982539
Arizona,"Taxi, motorcycle, or other",2010,0.014865901
Arizona,Public transportation,2010,0.017861127
Arizona,Worked at home,2010,0.057550826
Arizona,Carpool,2010,0.116392349
Arizona,Drove alone,2010,0.764840633
Arkansas,Bicycle,2022,0.00123573
Arkansas,Walked,2022,0.01546291
Arkansas,"Taxi, motorcycle, or other",2022,0.011945134
Arkansas,Public transportation,2022,0.002773762
Arkansas,Worked at home,2022,0.0877315
Arkansas,Carpool,2022,0.08286662
Arkansas,Drove alone,2022,0.797984344
Arkansas,Bicycle,2021,0.000938133
Arkansas,Walked,2021,0.013482507
Arkansas,"Taxi, motorcycle, or other",2021,0.009044916
Arkansas,Public transportation,2021,0.001892322
Arkansas,Worked at home,2021,0.097395324
Arkansas,Carpool,2021,0.088090452
Arkansas,Drove alone,2021,0.789156346
Arkansas,"Taxi, motorcycle, or other",2020,0.02624851
Arkansas,Public transportation,2020,0.003268852
Arkansas,Worked at home,2020,0.078916497
Arkansas,Carpool,2020,0.096472492
Arkansas,Drove alone,2020,0.79509365
Arkansas,Bicycle,2019,0.001508929
Arkansas,Walked,2019,0.01930775
Arkansas,"Taxi, motorcycle, or other",2019,0.008838124
Arkansas,Public transportation,2019,0.004028126
Arkansas,Worked at home,2019,0.035169781
Arkansas,Carpool,2019,0.107092121
Arkansas,Drove alone,2019,0.824055168
Arkansas,Bicycle,2018,0.001750759
Arkansas,Walked,2018,0.015410983
Arkansas,"Taxi, motorcycle, or other",2018,0.01090958
Arkansas,Public transportation,2018,0.003849671
Arkansas,Worked at home,2018,0.037479153
Arkansas,Carpool,2018,0.104398417
Arkansas,Drove alone,2018,0.826201437
Arkansas,Bicycle,2017,0.001824188
Arkansas,Walked,2017,0.018032779
Arkansas,"Taxi, motorcycle, or other",2017,0.008274387
Arkansas,Public transportation,2017,0.002955528
Arkansas,Worked at home,2017,0.036792737
Arkansas,Carpool,2017,0.098632561
Arkansas,Drove alone,2017,0.83348782
Arkansas,Bicycle,2016,0.001349059
Arkansas,Walked,2016,0.020129924
Arkansas,"Taxi, motorcycle, or other",2016,0.010419228
Arkansas,Public transportation,2016,0.003358414
Arkansas,Worked at home,2016,0.032033434
Arkansas,Carpool,2016,0.101687906
Arkansas,Drove alone,2016,0.831022035
Arkansas,Bicycle,2015,0.001338878
Arkansas,Walked,2015,0.017580157
Arkansas,"Taxi, motorcycle, or other",2015,0.011921442
Arkansas,Public transportation,2015,0.004620646
Arkansas,Worked at home,2015,0.030615469
Arkansas,Carpool,2015,0.107660011
Arkansas,Drove alone,2015,0.826263397
Arkansas,Bicycle,2014,0.002280595
Arkansas,Walked,2014,0.017743027
Arkansas,"Taxi, motorcycle, or other",2014,0.009451265
Arkansas,Public transportation,2014,0.00325845
Arkansas,Worked at home,2014,0.033108635
Arkansas,Carpool,2014,0.108849988
Arkansas,Drove alone,2014,0.82530804
Arkansas,Bicycle,2013,0.002092847
Arkansas,Walked,2013,0.016523683
Arkansas,"Taxi, motorcycle, or other",2013,0.012785988
Arkansas,Public transportation,2013,0.00474406
Arkansas,Worked at home,2013,0.028277145
Arkansas,Carpool,2013,0.101428695
Arkansas,Drove alone,2013,0.834147582
Arkansas,Bicycle,2012,0.000781738
Arkansas,Walked,2012,0.016259985
Arkansas,"Taxi, motorcycle, or other",2012,0.009611969
Arkansas,Public transportation,2012,0.004661233
Arkansas,Worked at home,2012,0.034600008
Arkansas,Carpool,2012,0.11181527
Arkansas,Drove alone,2012,0.822269797
Arkansas,Bicycle,2011,0.001762572
Arkansas,Walked,2011,0.018733597
Arkansas,"Taxi, motorcycle, or other",2011,0.011390507
Arkansas,Public transportation,2011,0.004335285
Arkansas,Worked at home,2011,0.033367137
Arkansas,Carpool,2011,0.10296446
Arkansas,Drove alone,2011,0.827446442
Arkansas,Bicycle,2010,0.000608499
Arkansas,Walked,2010,0.018108956
Arkansas,"Taxi, motorcycle, or other",2010,0.013926954
Arkansas,Public transportation,2010,0.004941401
Arkansas,Worked at home,2010,0.029575813
Arkansas,Carpool,2010,0.112846339
Arkansas,Drove alone,2010,0.819992039
California,Bicycle,2022,0.007353997
California,Walked,2022,0.02411137
California,"Taxi, motorcycle, or other",2022,0.01676699
California,Public transportation,2022,0.026579931
California,Worked at home,2022,0.171978143
California,Carpool,2022,0.098407175
California,Drove alone,2022,0.654802395
California,Bicycle,2021,0.005963669
California,Walked,2021,0.021266862
California,"Taxi, motorcycle, or other",2021,0.017202113
California,Public transportation,2021,0.020679928
California,Worked at home,2021,0.21402676
California,Carpool,2021,0.084022432
California,Drove alone,2021,0.636838236
California,"Taxi, motorcycle, or other",2020,0.043598477
California,Public transportation,2020,0.032431092
California,Worked at home,2020,0.189395465
California,Carpool,2020,0.088240514
California,Drove alone,2020,0.646334452
California,Bicycle,2019,0.008577621
California,Walked,2019,0.025613698
California,"Taxi, motorcycle, or other",2019,0.017158072
California,Public transportation,2019,0.051835984
California,Worked at home,2019,0.063447468
California,Carpool,2019,0.098304769
California,Drove alone,2019,0.735062387
California,Bicycle,2018,0.008566894
California,Walked,2018,0.026393504
California,"Taxi, motorcycle, or other",2018,0.017258721
California,Public transportation,2018,0.049369802
California,Worked at home,2018,0.060008196
California,Carpool,2018,0.100070847
California,Drove alone,2018,0.738332035
California,Bicycle,2017,0.009062407
California,Walked,2017,0.02583836
California,"Taxi, motorcycle, or other",2017,0.015825112
California,Public transportation,2017,0.050193637
California,Worked at home,2017,0.059653356
California,Carpool,2017,0.100284221
California,Drove alone,2017,0.739142908
California,Bicycle,2016,0.010296759
California,Walked,2016,0.026867789
California,"Taxi, motorcycle, or other",2016,0.015194611
California,Public transportation,2016,0.050783311
California,Worked at home,2016,0.058269382
California,Carpool,2016,0.103007862
California,Drove alone,2016,0.735580287
California,Bicycle,2015,0.010904541
California,Walked,2015,0.026898443
California,"Taxi, motorcycle, or other",2015,0.015424542
California,Public transportation,2015,0.052376549
California,Worked at home,2015,0.055010064
California,Carpool,2015,0.100391089
California,Drove alone,2015,0.738994772
California,Bicycle,2014,0.011579244
California,Walked,2014,0.027109882
California,"Taxi, motorcycle, or other",2014,0.014464217
California,Public transportation,2014,0.052995997
California,Worked at home,2014,0.053954158
California,Carpool,2014,0.10508037
California,Drove alone,2014,0.734816133
California,Bicycle,2013,0.011329677
California,Walked,2013,0.027331738
California,"Taxi, motorcycle, or other",2013,0.014637424
California,Public transportation,2013,0.053142801
California,Worked at home,2013,0.05242095
California,Carpool,2013,0.109010636
California,Drove alone,2013,0.732126773
California,Bicycle,2012,0.011205026
California,Walked,2012,0.026866868
California,"Taxi, motorcycle, or other",2012,0.012725623
California,Public transportation,2012,0.051794088
California,Worked at home,2012,0.0526499
California,Carpool,2012,0.110845321
California,Drove alone,2012,0.733913173
California,Bicycle,2011,0.011008803
California,Walked,2011,0.027758344
California,"Taxi, motorcycle, or other",2011,0.012726313
California,Public transportation,2011,0.051581763
California,Worked at home,2011,0.053427333
California,Carpool,2011,0.110973675
California,Drove alone,2011,0.732523769
California,Bicycle,2010,0.010050325
California,Walked,2010,0.026994107
California,"Taxi, motorcycle, or other",2010,0.012896795
California,Public transportation,2010,0.051524686
California,Worked at home,2010,0.051773155
California,Carpool,2010,0.115035699
California,Drove alone,2010,0.731725233
Colorado,Bicycle,2022,0.009929523
Colorado,Walked,2022,0.025333095
Colorado,"Taxi, motorcycle, or other",2022,0.010852968
Colorado,Public transportation,2022,0.016347198
Colorado,Worked at home,2022,0.211679809
Colorado,Carpool,2022,0.078873403
Colorado,Drove alone,2022,0.646984004
Colorado,Bicycle,2021,0.007751166
Colorado,Walked,2021,0.022602555
Colorado,"Taxi, motorcycle, or other",2021,0.011592665
Colorado,Public transportation,2021,0.013222027
Colorado,Worked at home,2021,0.23747386
Colorado,Carpool,2021,0.070631983
Colorado,Drove alone,2021,0.636725744
Colorado,"Taxi, motorcycle, or other",2020,0.046709135
Colorado,Public transportation,2020,0.018600181
Colorado,Worked at home,2020,0.20911818
Colorado,Carpool,2020,0.071954543
Colorado,Drove alone,2020,0.65361796
Colorado,Bicycle,2019,0.011279009
Colorado,Walked,2019,0.026934413
Colorado,"Taxi, motorcycle, or other",2019,0.010907448
Colorado,Public transportation,2019,0.031925427
Colorado,Worked at home,2019,0.091235192
Colorado,Carpool,2019,0.085809527
Colorado,Drove alone,2019,0.741908984
Colorado,Bicycle,2018,0.012011628
Colorado,Walked,2018,0.02977546
Colorado,"Taxi, motorcycle, or other",2018,0.010295247
Colorado,Public transportation,2018,0.027559621
Colorado,Worked at home,2018,0.085555809
Colorado,Carpool,2018,0.085527799
Colorado,Drove alone,2018,0.749274436
Colorado,Bicycle,2017,0.010988307
Colorado,Walked,2017,0.026758084
Colorado,"Taxi, motorcycle, or other",2017,0.011259871
Colorado,Public transportation,2017,0.032171357
Colorado,Worked at home,2017,0.084553121
Colorado,Carpool,2017,0.085503596
Colorado,Drove alone,2017,0.748765664
Colorado,Bicycle,2016,0.010891863
Colorado,Walked,2016,0.030057685
Colorado,"Taxi, motorcycle, or other",2016,0.010703625
Colorado,Public transportation,2016,0.029175561
Colorado,Worked at home,2016,0.079468363
Colorado,Carpool,2016,0.089610118
Colorado,Drove alone,2016,0.750092785
Colorado,Bicycle,2015,0.012302727
Colorado,Walked,2015,0.028412607
Colorado,"Taxi, motorcycle, or other",2015,0.009771315
Colorado,Public transportation,2015,0.029527786
Colorado,Worked at home,2015,0.071123294
Colorado,Carpool,2015,0.084112791
Colorado,Drove alone,2015,0.764749479
Colorado,Bicycle,2014,0.013381695
Colorado,Walked,2014,0.02661383
Colorado,"Taxi, motorcycle, or other",2014,0.009462554
Colorado,Public transportation,2014,0.032953528
Colorado,Worked at home,2014,0.065027973
Colorado,Carpool,2014,0.096280024
Colorado,Drove alone,2014,0.756280397
Colorado,Bicycle,2013,0.013062319
Colorado,Walked,2013,0.029349476
Colorado,"Taxi, motorcycle, or other",2013,0.011541279
Colorado,Public transportation,2013,0.033466373
Colorado,Worked at home,2013,0.068920186
Colorado,Carpool,2013,0.097127718
Colorado,Drove alone,2013,0.74653265
Colorado,Bicycle,2012,0.015095362
Colorado,Walked,2012,0.033754229
Colorado,"Taxi, motorcycle, or other",2012,0.01165869
Colorado,Public transportation,2012,0.032290935
Colorado,Worked at home,2012,0.06625747
Colorado,Carpool,2012,0.096829872
Colorado,Drove alone,2012,0.744113443
Colorado,Bicycle,2011,0.013540118
Colorado,Walked,2011,0.029255195
Colorado,"Taxi, motorcycle, or other",2011,0.011433366
Colorado,Public transportation,2011,0.031093558
Colorado,Worked at home,2011,0.06253824
Colorado,Carpool,2011,0.097576509
Colorado,Drove alone,2011,0.754563014
Colorado,Bicycle,2010,0.011351665
Colorado,Walked,2010,0.029784581
Colorado,"Taxi, motorcycle, or other",2010,0.010259042
Colorado,Public transportation,2010,0.029618607
Colorado,Worked at home,2010,0.063890232
Colorado,Carpool,2010,0.100422058
Colorado,Drove alone,2010,0.754673815
Connecticut,Bicycle,2022,0.001623492
Connecticut,Walked,2022,0.027470231
Connecticut,"Taxi, motorcycle, or other",2022,0.012893821
Connecticut,Public transportation,2022,0.032882965
Connecticut,Worked at home,2022,0.158847786
Connecticut,Carpool,2022,0.076661986
Connecticut,Drove alone,2022,0.689619719
Connecticut,Bicycle,2021,0.001869311
Connecticut,Walked,2021,0.025325935
Connecticut,"Taxi, motorcycle, or other",2021,0.013491086
Connecticut,Public transportation,2021,0.024589454
Connecticut,Worked at home,2021,0.19472039
Connecticut,Carpool,2021,0.073956699
Connecticut,Drove alone,2021,0.666047124
Connecticut,"Taxi, motorcycle, or other",2020,0.042072423
Connecticut,Public transportation,2020,0.033396776
Connecticut,Worked at home,2020,0.181546178
Connecticut,Carpool,2020,0.065319118
Connecticut,Drove alone,2020,0.677665505
Connecticut,Bicycle,2019,0.00351121
Connecticut,Walked,2019,0.028068523
Connecticut,"Taxi, motorcycle, or other",2019,0.008704816
Connecticut,Public transportation,2019,0.045179755
Connecticut,Worked at home,2019,0.05577852
Connecticut,Carpool,2019,0.075460669
Connecticut,Drove alone,2019,0.783296507
Connecticut,Bicycle,2018,0.001809239
Connecticut,Walked,2018,0.02627468
Connecticut,"Taxi, motorcycle, or other",2018,0.010272061
Connecticut,Public transportation,2018,0.044418938
Connecticut,Worked at home,2018,0.056619032
Connecticut,Carpool,2018,0.081482126
Connecticut,Drove alone,2018,0.779123925
Connecticut,Bicycle,2017,0.003083802
Connecticut,Walked,2017,0.02782396
Connecticut,"Taxi, motorcycle, or other",2017,0.009526997
Connecticut,Public transportation,2017,0.046940382
Connecticut,Worked at home,2017,0.051278965
Connecticut,Carpool,2017,0.078548931
Connecticut,Drove alone,2017,0.782796963
Connecticut,Bicycle,2016,0.002986101
Connecticut,Walked,2016,0.027393699
Connecticut,"Taxi, motorcycle, or other",2016,0.008943178
Connecticut,Public transportation,2016,0.049392247
Connecticut,Worked at home,2016,0.0521761
Connecticut,Carpool,2016,0.081915542
Connecticut,Drove alone,2016,0.777193132
Connecticut,Bicycle,2015,0.0023766
Connecticut,Walked,2015,0.029792665
Connecticut,"Taxi, motorcycle, or other",2015,0.007773863
Connecticut,Public transportation,2015,0.049357038
Connecticut,Worked at home,2015,0.04786983
Connecticut,Carpool,2015,0.078337575
Connecticut,Drove alone,2015,0.784492429
Connecticut,Bicycle,2014,0.003252484
Connecticut,Walked,2014,0.031414054
Connecticut,"Taxi, motorcycle, or other",2014,0.009041475
Connecticut,Public transportation,2014,0.047994811
Connecticut,Worked at home,2014,0.046217897
